parent,distance,keytag,importance,biz_ext,type,photos,building,typecode,shopinfo,poiweight,adname,featured_reviews_remake,tel,id,address,space_num,pname,biz_type,cityname,childtype,atag,name,location,shopid,favorite_num,featured_reviews,rating,cost,cost_missing,rating_missing,rating_is_zero,valid_for_model,type_main,cat_level1,cat_level2,tag_list
B0FFH2VWTH,[],火锅,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],0571-81965617,B0FFHTLLV3,新业路228号来福士广场4楼L4-20号,[],浙江省,diner,杭州市,201,"鲜牛杂鸳鸯锅,吊龙,牛肉饼,炸腐皮,嫩肉,风味牛舌,薏米马蹄水,五花腱,匙皮肉,双丸拼盘,脚趾肉,肥胼,箭笋片,牛肉春卷,潮汕牛肉片,牛肉",左庭右院鲜牛肉火锅(来福士店),"120.212938,30.249633",[],[],[],4.6,133,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['鲜牛杂鸳鸯锅', '吊龙', '牛肉饼', '炸腐皮', '嫩肉', '风味牛舌', '薏米马蹄水', '五花腱', '匙皮肉', '双丸拼盘', '脚趾肉', '肥胼', '箭笋片', '牛肉春卷', '潮汕牛肉片', '牛肉']"
B0HRGM818L,[],闽菜,[],[],餐饮服务;中餐厅;福建菜,[],[],050110,1,[],上城区,[],0571-87016799,B0I0ZH8S48,解放东路45号高德置地广场A1幢58楼席作·福建会馆,[],浙江省,diner,杭州市,202,"佛跳墙,小酥肉,芋泥,麻油姜母鸭煎南日鲍,鸭肉,福建会馆佛跳墙,特色菜,芋头,蟹肉,鲍鱼,麻薯",席作·福建会馆(杭州高德置地广场店),"120.209135,30.243534",[],[],[],4.7,441,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;福建菜,餐饮服务,中餐厅,"['佛跳墙', '小酥肉', '芋泥', '麻油姜母鸭煎南日鲍', '鸭肉', '福建会馆佛跳墙', '特色菜', '芋头', '蟹肉', '鲍鱼', '麻薯']"
B0H07X5CU0,[],火锅,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],0571-85033577;17706718982,B0L275JNIE,杭州来福士中心7层(星光嘉映影城对面),[],浙江省,diner,杭州市,202,双人餐,南马道斑鱼鲜火锅(杭州来福士中心店),"120.213161,30.248700",[],[],[],4.5,120,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,['双人餐']
B0FFH2VWTH,[],老北京火锅,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],[],B0LAK7EFOY,新业路228号杭州来福士中心6F层,[],浙江省,diner,杭州市,201,"奶皮子,汉堡",新京韵·鲜山羊铜锅涮(杭州来福士中心店),"120.212890,30.249066",[],[],[],4.5,112,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,"['奶皮子', '汉堡']"
B0HRGM818L,[],自助餐,[],[],餐饮服务;外国餐厅;外国餐厅,[],[],050200,0,[],上城区,[],0571-88076887;18867132257,B0IG5AIQYQ,解放东路高德置地广场A1幢19层,[],浙江省,diner,杭州市,202,"刺身,牛肉,鹅肝",觅隐·千寻,"120.209062,30.243647",[],[],[],4.7,,TRUE,FALSE,FALSE,FALSE,餐饮服务;外国餐厅;外国餐厅,餐饮服务,外国餐厅,"['刺身', '牛肉', '鹅肝']"
B0FFH2VWTH,[],小吃快餐,[],[],餐饮服务;快餐厅;肯德基,[],[],050301,0,[],上城区,[],021-59097778,B0FFHWNPT3,江干区来福士广场BF,[],浙江省,diner,杭州市,201,"海苔岩烧大鸡腿饭,黄金鸡块,鸡米花,KFC芋缘花淇淋,葡式蛋挞,芋缘花淇淋,KFC香辣（劲脆）鸡腿堡,吮指原味鸡,可乐,香辣鸡翅,肯大大鸡排,红豆派,小食拼盘,蔬菜沙拉,醇香土豆泥,薯条,玉米沙拉,伴柠伴桔鲜果茶,现磨咖啡,新奥尔良烤鸡腿堡,KFC老北京鸡肉卷,双人餐,汉堡,鸡肉,下午茶,单人餐",肯德基(杭州来福士店),"120.213034,30.248269",[],[],[],4.4,29,FALSE,FALSE,FALSE,TRUE,餐饮服务;快餐厅;肯德基,餐饮服务,快餐厅,"['海苔岩烧大鸡腿饭', '黄金鸡块', '鸡米花', 'KFC芋缘花淇淋', '葡式蛋挞', '芋缘花淇淋', 'KFC香辣（劲脆）鸡腿堡', '吮指原味鸡', '可乐', '香辣鸡翅', '肯大大鸡排', '红豆派', '小食拼盘', '蔬菜沙拉', '醇香土豆泥', '薯条', '玉米沙拉', '伴柠伴桔鲜果茶', '现磨咖啡', '新奥尔良烤鸡腿堡', 'KFC老北京鸡肉卷', '双人餐', '汉堡', '鸡肉', '下午茶', '单人餐']"
B0LUF144SO,[],浙菜,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],0571-87033008,B0MBZMBSML,解放东路18号钱江新城市民中心H座南区F1层,[],浙江省,diner,杭州市,202,[],杭州酒家(钱江新城市民中心店),"120.210275,30.245375",[],[],[],4.5,67,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,[]
B0FFH2VWTH,[],江浙菜,[],[],餐饮服务;中餐厅;浙江菜,[],[],050106,0,[],上城区,[],0571-85025766,B0FFHWDNUM,新业路228号来福士中心04层02号,[],浙江省,diner,杭州市,201,"卤大肠,雪菜冬笋蘑菇肉片,虾爆鳝,小笼包,叫花鸡,龙井虾仁,青豆,千岛湖酱鱼头,冬笋肉丝,桂花糖年糕,甜豆,带鱼,雪花肥牛,老鸭煲,馋嘴蛙,大肠,家常菜,东坡肉,臭豆腐,牛肉",杭儿风餐厅(来福士店),"120.212933,30.248010",[],[],[],4.6,135,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;浙江菜,餐饮服务,中餐厅,"['卤大肠', '雪菜冬笋蘑菇肉片', '虾爆鳝', '小笼包', '叫花鸡', '龙井虾仁', '青豆', '千岛湖酱鱼头', '冬笋肉丝', '桂花糖年糕', '甜豆', '带鱼', '雪花肥牛', '老鸭煲', '馋嘴蛙', '大肠', '家常菜', '东坡肉', '臭豆腐', '牛肉']"
B0H07X5CU0,[],江浙菜,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],上城区,[],0571-85365282;18432566956,B0LUPAYUK5,新业路228号杭州来福士中心6楼,[],浙江省,diner,杭州市,202,宁波菜,阿毛饭店·传统宁波菜(杭州来福士中心店),"120.213032,30.248772",[],[],[],4.7,104,FALSE,FALSE,FALSE,TRUE,餐饮服务;餐饮相关场所;餐饮相关,餐饮服务,餐饮相关场所,['宁波菜']
B0FFH2VWTH,[],湘菜,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],18157159089,B0LRBCNOXD,新业路228号杭州来福士中心7F层,[],浙江省,diner,杭州市,201,双人餐,王胜利长沙家菜馆(杭州首店),"120.213261,30.248366",[],[],[],4.6,54,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,['双人餐']
B0FFMGPTGP,[],小吃快餐,[],[],餐饮服务;快餐厅;快餐厅,[],[],050300,0,[],上城区,[],021-59097778,B0FFLB8J2I,江干区四季青街道解放东路8号砂之船奥特莱斯人马街030号,[],浙江省,diner,杭州市,202,"下午茶,双人餐,薯条,单人餐,汉堡",肯德基(杭州砂之船奥莱店),"120.212065,30.244229",[],[],[],4.3,24,FALSE,FALSE,FALSE,TRUE,餐饮服务;快餐厅;快餐厅,餐饮服务,快餐厅,"['下午茶', '双人餐', '薯条', '单人餐', '汉堡']"
B0FFH2VWTH,[],海鲜,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],上城区,[],0571-87325661,B0FFHXI6LB,新业路228号来福士中心B1层15/16号,[],浙江省,diner,杭州市,201,"双人餐,杨枝甘露",杭越小鲜(杭州来福士中心店),"120.212586,30.248301",[],[],[],4.6,144,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮服务,中餐厅,"['双人餐', '杨枝甘露']"
B0H07X5CU0,[],面馆,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],18969167090,B0L1RHC11V,新业路228号来福士中心T2栋负一楼,[],浙江省,diner,杭州市,202,重庆小面,鸟鸟私房面(来福士臻选店),"120.213412,30.248543",[],[],[],4.5,25,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,['重庆小面']
B0FFH2VWTH,[],江浙菜,[],[],餐饮服务;中餐厅;海鲜酒楼,[],[],050119,1,[],上城区,[],19012818668,B0KKAUL7SU,新业路228号来福士中心04层35号,[],浙江省,diner,杭州市,202,"年糕,小海鲜",向东海·台州菜·小海鲜(杭州来福士中心店),"120.213747,30.248567",[],[],[],4.6,121,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;海鲜酒楼,餐饮服务,中餐厅,"['年糕', '小海鲜']"
B0FFHSMO63,[],西式快餐,[],[],餐饮服务;快餐厅;快餐厅,[],[],050300,0,[],上城区,[],4009200205,B0HAU4R3UG,解放路45号高德置地广场3幢101室一层L125单元,[],浙江省,diner,杭州市,202,"巨无霸汉堡,安格斯系列,麦辣鸡腿堡,板烧美味三件套,大脆鸡扒麦满分组合,人气美味尽享套餐,麦辣美味三件套,原味板烧鸡腿麦满分组合,可乐鸡翅,麦当劳超值嗨餐,（2-3人餐）,家有金桶（汉堡版）,家有金桶（脆鸡版）,双人餐,薯条,汉堡",麦当劳(杭州高德置地广场餐厅),"120.208103,30.242377",[],[],[],4.5,27,FALSE,FALSE,FALSE,TRUE,餐饮服务;快餐厅;快餐厅,餐饮服务,快餐厅,"['巨无霸汉堡', '安格斯系列', '麦辣鸡腿堡', '板烧美味三件套', '大脆鸡扒麦满分组合', '人气美味尽享套餐', '麦辣美味三件套', '原味板烧鸡腿麦满分组合', '可乐鸡翅', '麦当劳超值嗨餐', '（2-3人餐）', '家有金桶（汉堡版）', '家有金桶（脆鸡版）', '双人餐', '薯条', '汉堡']"
B0FFKOEPES,[],日本料理,[],[],餐饮服务;外国餐厅;日本料理,[],[],050202,1,[],上城区,[],0571-86891889,B0FFK0IPH0,民心路280号平安金融中心悦坊商场4楼401、402,[],浙江省,diner,杭州市,202,"刺身,寿司,自助餐,三文鱼,芝士,牛肉,鹅肝,龙虾",月龙吟(悦坊商场店),"120.213225,30.251446",[],[],[],4.8,349,FALSE,FALSE,FALSE,TRUE,餐饮服务;外国餐厅;日本料理,餐饮服务,外国餐厅,"['刺身', '寿司', '自助餐', '三文鱼', '芝士', '牛肉', '鹅肝', '龙虾']"
B0FFKOEPES,[],烧烤,[],[],餐饮服务;中餐厅;特色/地方风味餐厅,[],[],050118,0,[],上城区,[],18969089703,B0L0YC6MS4,四季青街道民心路280号平安悦坊PAFCLIVING108A-110B,[],浙江省,diner,杭州市,202,[],木屋烧烤(上城平安金融中心店),"120.212461,30.251847",[],[],[],4.5,82,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;特色/地方风味餐厅,餐饮服务,中餐厅,[]
B0FFH2VWTH,[],粤菜,[],[],餐饮服务;中餐厅;火锅店,[],[],050117,0,[],上城区,[],18905819171,B0IUA74QCG,新业路228号来福士中心4F,[],浙江省,diner,杭州市,201,"点心,牛肉,虾仁,肠粉,鸡肉,广式腊味煲仔饭,红米脆皮鲜虾肠粉,蝴蝶里虾饺皇",蝴蝶里(杭州来福士店),"120.212819,30.249454",[],[],[],4.6,65,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;火锅店,餐饮服务,中餐厅,"['点心', '牛肉', '虾仁', '肠粉', '鸡肉', '广式腊味煲仔饭', '红米脆皮鲜虾肠粉', '蝴蝶里虾饺皇']"
B0FFJH8759,[],西餐,[],[],餐饮服务;外国餐厅;牛扒店(扒房),[],[],050211,0,[],上城区,[],0571-86953312,B0KKMUJXHB,平安中心,[],浙江省,diner,杭州市,202,"单人餐,牛排",王品牛排(杭州平安悦坊店),"120.212891,30.251051",[],[],[],4.7,246,FALSE,FALSE,FALSE,TRUE,餐饮服务;外国餐厅;牛扒店(扒房),餐饮服务,外国餐厅,"['单人餐', '牛排']"
B0FFJRT15P,[],粤菜,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,1,[],上城区,[],0571-88887770;19357068661,B0HKCCCK7F,来福士中心T2幢天璟5401室,[],浙江省,diner,杭州市,202,"酸辣苏格兰蓝龙,四季至尊一品煲,卤水36个月老鹅头,粥水浸蚌仔,玻璃脆皮乳鸽,梅菜肉松扣花胶,实心海参拌老虎菜,潮汕生腌小青龙,古法扣澳洲大鲜鲍,奶油,花胶,鹅肝,拌饭,杨枝甘露,鲍鱼",瑞四季·新潮粤菜(杭州来福士中心店),"120.213767,30.248869",[],[],[],4.6,587,FALSE,FALSE,FALSE,TRUE,餐饮服务;餐饮相关场所;餐饮相关,餐饮服务,餐饮相关场所,"['酸辣苏格兰蓝龙', '四季至尊一品煲', '卤水36个月老鹅头', '粥水浸蚌仔', '玻璃脆皮乳鸽', '梅菜肉松扣花胶', '实心海参拌老虎菜', '潮汕生腌小青龙', '古法扣澳洲大鲜鲍', '奶油', '花胶', '鹅肝', '拌饭', '杨枝甘露', '鲍鱼']"
B0FFJRT15P,[],中餐,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,1,[],上城区,[],18067979597,B0HK35JW1T,杭州来福士T2幢52楼,[],浙江省,diner,杭州市,202,"拌饭,烤鸭,红烧肉,臭豆腐,牛肉,螃蟹",湖上牧云(杭州来福士中心店),"120.213889,30.248994",[],[],[],4.6,518,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,"['拌饭', '烤鸭', '红烧肉', '臭豆腐', '牛肉', '螃蟹']"
B0FFKOEPES,[],西式快餐,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],上城区,[],0571-88492875,B0L36ZA6ZK,平安悦坊(江锦路地铁站B1口步行390米),[],浙江省,diner,杭州市,202,"双人餐,薯条",麦当劳(悦坊商场店),"120.212838,30.250812",[],[],[],4.5,32,FALSE,FALSE,FALSE,TRUE,餐饮服务;餐饮相关场所;餐饮相关,餐饮服务,餐饮相关场所,"['双人餐', '薯条']"
B0H07X5CU0,[],日本料理,[],[],餐饮服务;外国餐厅;日本料理,[],[],050202,0,[],上城区,[],0571-87920618,B0MGHSSW6P,新业路228号来福士L4-21-23,[],浙江省,diner,杭州市,202,寿司,寿司郎(杭州来福士店),"120.213012,30.249549",[],[],[],4.4,107,FALSE,FALSE,FALSE,TRUE,餐饮服务;外国餐厅;日本料理,餐饮服务,外国餐厅,['寿司']
B0FFHSMO63,[],川味小吃,[],[],餐饮服务;中餐厅;中餐厅,[],[],050100,0,[],上城区,[],17816079713,B0L0RS5P7I,四季青街道高德置地广场A3栋商场3层317号,[],浙江省,diner,杭州市,202,冒菜,孔岳冒菜(高德置地店),"120.207318,30.242946",[],[],[],4.5,47,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,['冒菜']
B0FFJRT15P,[],私房菜,[],[],餐饮服务;中餐厅;海鲜酒楼,[],[],050119,0,[],上城区,[],0571-88212728,B0ID6R6J0W,来福士T2天璟55楼(康莱德酒店边厅电梯),[],浙江省,diner,杭州市,202,"香煎带子,溏心两头鲍,金露雪蛤,沙蒜豆面,安格斯牛肉粒,冲浪西施舌,小米辽参,樱花虾,炸鲳鱼,和牛芝香挞,酸菜望潮,香煎鲳鱼,原味蒸蛏,火炙黄金螺,点心,黄油",杭台荟·台州海鲜(杭州来福士中心店),"120.213794,30.248886",[],[],[],4.6,414,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;海鲜酒楼,餐饮服务,中餐厅,"['香煎带子', '溏心两头鲍', '金露雪蛤', '沙蒜豆面', '安格斯牛肉粒', '冲浪西施舌', '小米辽参', '樱花虾', '炸鲳鱼', '和牛芝香挞', '酸菜望潮', '香煎鲳鱼', '原味蒸蛏', '火炙黄金螺', '点心', '黄油']"
B0FFH2VWTH,[],湘菜,[],[],餐饮服务;中餐厅;湖南菜(湘菜),[],[],050108,0,[],上城区,[],19032216930,B0J33AU0NE,新业路228号来福士中心5楼21号(西贝楼上塔哈尔新疆菜对面),[],浙江省,diner,杭州市,201,"现切现炒吊龙,湘式跳跳蛙,高压锅虎皮凤爪（特辣）,擂椒茄子皮蛋,现切现炒黄牛肉,湘味烤鸭,下饭鸡杂,手工脆笋炒腊肉,现切现炒五花趾,农家柴火香干,老坛剁椒鱼头,铁板韭菜鱿鱼,砂锅花菜,五常大米饭,酸菜鱼,香辣大明虾,酸菜炒肥肠,辣椒炒肉,吊龙,特色菜,鸡肉,小炒黄牛肉,现切现炒黄牛肉,豆腐,麻婆豆腐,黄牛肉,辣椒炒肉",鹊拾湘·金奖现炒黄牛肉(杭州来福士店),"120.213299,30.249168",[],[],[],4.5,75,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;湖南菜(湘菜),餐饮服务,中餐厅,"['现切现炒吊龙', '湘式跳跳蛙', '高压锅虎皮凤爪（特辣）', '擂椒茄子皮蛋', '现切现炒黄牛肉', '湘味烤鸭', '下饭鸡杂', '手工脆笋炒腊肉', '现切现炒五花趾', '农家柴火香干', '老坛剁椒鱼头', '铁板韭菜鱿鱼', '砂锅花菜', '五常大米饭', '酸菜鱼', '香辣大明虾', '酸菜炒肥肠', '辣椒炒肉', '吊龙', '特色菜', '鸡肉', '小炒黄牛肉', '现切现炒黄牛肉', '豆腐', '麻婆豆腐', '黄牛肉', '辣椒炒肉']"
B0FFH2VWTH,[],江浙菜,[],[],餐饮服务;中餐厅;浙江菜|生活服务;美容美发店;美容美发店,[],[],050106|071100,0,[],上城区,[],13866250357;17398046263,B0FFHW4VJC,新业路228号来福士中心4F28号,[],浙江省,diner,杭州市,201,"咸蛋黄鸡翅,糖醋里脊,高山活水煮活鱼,秘制铁板鲈鱼,铁板豆腐,孜然羊肉,第二代家常豆腐,下次还想吃油豉虾,凉拌海带,黄豆闷茄夹,青雪菜牛肉,辣椒小炒肉,西湖糖藕,老成都蒜泥白肉,老成都白切肉,柠檬,豆腐,鸡翅,鸡肉,家常菜,年糕,拌饭,酸菜鱼",新发现·甄选(来福士店),"120.213774,30.249073",[],[],[],4.4,65,FALSE,FALSE,FALSE,TRUE,餐饮服务;中餐厅;浙江菜,餐饮服务,中餐厅,"['咸蛋黄鸡翅', '糖醋里脊', '高山活水煮活鱼', '秘制铁板鲈鱼', '铁板豆腐', '孜然羊肉', '第二代家常豆腐', '下次还想吃油豉虾', '凉拌海带', '黄豆闷茄夹', '青雪菜牛肉', '辣椒小炒肉', '西湖糖藕', '老成都蒜泥白肉', '老成都白切肉', '柠檬', '豆腐', '鸡翅', '鸡肉', '家常菜', '年糕', '拌饭', '酸菜鱼']"
B0FFJJ45ER,[],日本料理,[],[],餐饮服务;餐饮相关场所;餐饮相关,[],[],050000,0,[],上城区,[],0571-86958626,B0KRVCLV73,富春路来福士中心康莱德酒店26层,[],浙江省,diner,杭州市,202,"吸物,造里,先付,主厨套餐,冷钵,扬物,强肴,御食,甘味,双人餐",喜鹤楟日料(来福士康莱德酒店),"120.213770,30.248939",[],[],[],4.6,568,FALSE,FALSE,FALSE,TRUE,餐饮服务;餐饮相关场所;餐饮相关,餐饮服务,餐饮相关场所,"['吸物', '造里', '先付', '主厨套餐', '冷钵', '扬物', '强肴', '御食', '甘味', '双人餐']"
